classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.DT,quaternion,15.11537480354309,9,0.014003276824951172,0.5551697530864198,0.5555291623025285,0.5559871045048727,0.5551697530864197
Classifiers.DT,quaternion,15.362430810928345,10,0.012003421783447266,0.5686728395061729,0.5691942463579414,0.5701801998602779,0.5686728395061729
Classifiers.DT,quaternion,15.014351844787598,11,0.01000213623046875,0.5532407407407407,0.5519687942360463,0.5511775869291887,0.5532407407407407
Classifiers.DT,quaternion,15.202394247055054,12,0.01100301742553711,0.5466820987654321,0.5466976047228294,0.5473553351723623,0.5466820987654321
Classifiers.DT,quaternion,15.37743330001831,13,0.008002042770385742,0.5497685185185185,0.5481832765271565,0.54752282399846,0.5497685185185185
Classifiers.DT,quaternion,15.312418699264526,14,0.009002208709716797,0.5327932098765432,0.5326755053516298,0.5327629489292206,0.5327932098765431
Classifiers.DT,quaternion,15.332422733306885,15,0.011003732681274414,0.5447530864197531,0.5452524491672991,0.5463738223844384,0.5447530864197532
Classifiers.DT,quaternion,9.501132249832153,16,0.007001399993896484,0.5405092592592593,0.5415838356970198,0.5436353379069208,0.5405092592592592
Classifiers.DT,quaternion,9.690174579620361,17,0.007001638412475586,0.5374228395061729,0.5377985318467086,0.538834364139604,0.5374228395061729
Classifiers.DT,quaternion,9.601154088973999,18,0.007001638412475586,0.5478395061728395,0.5473483860135083,0.5473634558072862,0.5478395061728396
Classifiers.DT,quaternion,9.590152025222778,19,0.008002042770385742,0.5401234567901234,0.539240098290588,0.5391487351246429,0.5401234567901234
Classifiers.RF,quaternion,84.18580198287964,0,0.06201505661010742,0.5300925925925926,0.5212830134368901,0.5238858868184865,0.5300925925925926
Classifiers.RF,quaternion,84.00376081466675,1,0.06601476669311523,0.5262345679012346,0.5200661091533463,0.5239531957077469,0.5262345679012346
Classifiers.RF,quaternion,84.73492360115051,2,0.05301165580749512,0.5366512345679012,0.5317243021522999,0.536829870057424,0.5366512345679013
Classifiers.RF,quaternion,84.16980028152466,3,0.061011314392089844,0.5536265432098766,0.5442850687666796,0.5468347490186349,0.5536265432098766
Classifiers.RF,quaternion,84.5308780670166,4,0.0580134391784668,0.5339506172839507,0.528682952873011,0.5333175353977315,0.5339506172839505
Classifiers.RF,quaternion,84.28682518005371,5,0.05801224708557129,0.5308641975308642,0.5241898581685439,0.528216128760839,0.5308641975308643
Classifiers.RF,quaternion,84.42385506629944,6,0.051010847091674805,0.5239197530864198,0.5177297109732059,0.5206275847231336,0.5239197530864197
Classifiers.RF,quaternion,84.05077028274536,7,0.06301403045654297,0.5227623456790124,0.5156198042955226,0.5175296357896465,0.5227623456790124
Classifiers.RF,quaternion,84.21080589294434,8,0.06201434135437012,0.5227623456790124,0.5155575428183127,0.519868720492322,0.5227623456790123
Classifiers.RF,quaternion,84.02976584434509,9,0.06301403045654297,0.5335648148148148,0.5285345759426965,0.5336283471545673,0.5335648148148147
Classifiers.RF,quaternion,83.84072470664978,10,0.06101369857788086,0.5270061728395061,0.5203332659512845,0.5219267645346984,0.5270061728395061
Classifiers.RF,quaternion,84.10178327560425,11,0.06401443481445312,0.5432098765432098,0.536073531040056,0.5411384445833738,0.54320987654321
Classifiers.RF,quaternion,84.06177401542664,12,0.06301474571228027,0.5435956790123457,0.5379924028538796,0.5411653597911444,0.5435956790123456
Classifiers.RF,quaternion,83.91474056243896,13,0.062014102935791016,0.5185185185185185,0.512124013636702,0.5174295188552606,0.5185185185185185
Classifiers.RF,quaternion,84.22981214523315,14,0.055011749267578125,0.5262345679012346,0.5196749078324228,0.5235132170783561,0.5262345679012346
Classifiers.RF,quaternion,84.0907793045044,15,0.06001400947570801,0.5297067901234568,0.5233471586085424,0.5287619713024555,0.5297067901234568
Classifiers.RF,quaternion,52.592756032943726,16,0.0490109920501709,0.5308641975308642,0.526991752398876,0.5332525734207968,0.5308641975308642
Classifiers.RF,quaternion,52.77979803085327,17,0.048010826110839844,0.5254629629629629,0.5200225001674846,0.5232905320646178,0.5254629629629629
